"V1" "seasons.V1" "seasons_url" "season"
"218" "Arkansas Razorbacks" "2009-10" "http://www.sports-reference.com/cbb/schools/arkansas/2010.html" 2009
"219" "Arkansas Razorbacks" "2008-09" "http://www.sports-reference.com/cbb/schools/arkansas/2009.html" 2008
"220" "Arkansas Razorbacks" "2007-08" "http://www.sports-reference.com/cbb/schools/arkansas/2008.html" 2007
"221" "Arkansas Razorbacks" "2006-07" "http://www.sports-reference.com/cbb/schools/arkansas/2007.html" 2006
"222" "Arkansas Razorbacks" "2005-06" "http://www.sports-reference.com/cbb/schools/arkansas/2006.html" 2005
"223" "Arkansas Razorbacks" "2004-05" "http://www.sports-reference.com/cbb/schools/arkansas/2005.html" 2004
"224" "Arkansas Razorbacks" "2003-04" "http://www.sports-reference.com/cbb/schools/arkansas/2004.html" 2003
"225" "Arkansas Razorbacks" "2002-03" "http://www.sports-reference.com/cbb/schools/arkansas/2003.html" 2002
"226" "Arkansas Razorbacks" "2001-02" "http://www.sports-reference.com/cbb/schools/arkansas/2002.html" 2001
"227" "Arkansas Razorbacks" "2000-01" "http://www.sports-reference.com/cbb/schools/arkansas/2001.html" 2000
"228" "Arkansas State Red Wolves" "2014-15" "http://www.sports-reference.com/cbb/schools/arkansas-state/2015.html" 2014
"229" "Arkansas State Red Wolves" "2013-14" "http://www.sports-reference.com/cbb/schools/arkansas-state/2014.html" 2013
"230" "Arkansas State Red Wolves" "2012-13" "http://www.sports-reference.com/cbb/schools/arkansas-state/2013.html" 2012
"231" "Arkansas State Red Wolves" "2011-12" "http://www.sports-reference.com/cbb/schools/arkansas-state/2012.html" 2011
"232" "Arkansas State Red Wolves" "2010-11" "http://www.sports-reference.com/cbb/schools/arkansas-state/2011.html" 2010
"233" "Arkansas State Red Wolves" "2009-10" "http://www.sports-reference.com/cbb/schools/arkansas-state/2010.html" 2009
"234" "Arkansas State Red Wolves" "2008-09" "http://www.sports-reference.com/cbb/schools/arkansas-state/2009.html" 2008
"235" "Arkansas State Red Wolves" "2007-08" "http://www.sports-reference.com/cbb/schools/arkansas-state/2008.html" 2007
"236" "Arkansas State Red Wolves" "2006-07" "http://www.sports-reference.com/cbb/schools/arkansas-state/2007.html" 2006
"237" "Arkansas State Red Wolves" "2005-06" "http://www.sports-reference.com/cbb/schools/arkansas-state/2006.html" 2005
"238" "Arkansas State Red Wolves" "2004-05" "http://www.sports-reference.com/cbb/schools/arkansas-state/2005.html" 2004
"239" "Arkansas State Red Wolves" "2003-04" "http://www.sports-reference.com/cbb/schools/arkansas-state/2004.html" 2003
"240" "Arkansas State Red Wolves" "2002-03" "http://www.sports-reference.com/cbb/schools/arkansas-state/2003.html" 2002
"241" "Arkansas State Red Wolves" "2001-02" "http://www.sports-reference.com/cbb/schools/arkansas-state/2002.html" 2001
"242" "Arkansas State Red Wolves" "2000-01" "http://www.sports-reference.com/cbb/schools/arkansas-state/2001.html" 2000
